"Ligne_num";"NOMVOIE";"ID_DEFAUT";"PK_DEFAUT";"PROFIL_RAIL";"ANNEE_POSE";"VITESSE";"GROUPE_UIC";"RAYON_COURBE";"ID_TYPE_CLASSEMENT";"ID_TYPE_EMPLACEMENT";"ID_TYPE_DEFAUT";"Annee_Decouverte"
229000;"V1";2806798;"097+0120";"U33";1964;130;"7AV";2000;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806799;"097+0910";"U33";1964;130;"7AV";863;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806800;"097+0980";"U33";1964;130;"7AV";863;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806801;"098+0100";"U33";1964;130;"7AV";863;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806802;"098+0105";"U33";1964;130;"7AV";863;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806818;"099+0330";"U33";1964;130;"7AV";1163;"O";"Ciel ouvert";"2271";2016
229000;"V1";2806821;"099+0312";"U33";1964;130;"7AV";1163;"O";"Ciel ouvert";"2271";2016
229000;"V1";2806824;"099+0485";"U33";1964;130;"7AV";1163;"O";"Ciel ouvert";"2271";2016
229000;"V1";2806826;"099+0595";"U33";1964;130;"7AV";1163;"O";"Ciel ouvert";"2271";2016
229000;"V1";2806828;"099+0650";"U33";1964;130;"7AV";1163;"O";"Ciel ouvert";"2271";2016
229000;"V1";2806836;"100+0140";"U33";1964;130;"7AV";1163;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806839;"101+0820";"U33";1964;130;"7AV";1020;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806840;"102+0481";"U33";1964;130;"7AV";1020;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806841;"102+0672";"U33";1964;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806865;"107+0480";"U33";1980;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806868;"107+0733";"U33";1980;130;"7AV";746;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806869;"107+0771";"U33";1980;130;"7AV";746;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806870;"108+0025";"U33";1980;130;"7AV";746;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806871;"108+0236";"U33";1980;130;"7AV";746;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806872;"108+0237";"U33";1980;130;"7AV";746;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806873;"108+0436";"U33";1980;130;"7AV";746;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806874;"108+0437";"U33";1980;130;"7AV";746;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806875;"108+0452";"U33";1980;130;"7AV";746;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806887;"109+0585";"U33";1980;130;"7AV";1429;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806891;"109+0615";"U33";1980;130;"7AV";1429;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806900;"109+0890";"U33";1980;130;"7AV";1429;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806903;"110+0262";"U33";1980;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806905;"110+0390";"U33";1980;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806906;"110+0680";"U33";1980;130;"7AV";1087;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806911;"112+0110";"U33";1958;130;"7AV";1190;"O";"Ciel ouvert";"2272";2016
229000;"V1";2806920;"112+0888";"U33";1958;130;"7AV";962;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806921;"112+0950";"U33";1958;130;"7AV";962;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806925;"113+0075";"U33";1958;130;"7AV";962;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806933;"114+0872";"U33";1958;130;"7AV";980;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806935;"115+0480";"U33";1958;130;"7AV";0;"O";"Ciel ouvert";"2272";2016
229000;"V1";2806937;"115+0483";"U33";1958;130;"7AV";0;"O";"Ciel ouvert";"2272";2016
229000;"V1";2806939;"115+0634";"U33";1958;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806940;"115+0666";"U33";1958;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V1";2806941;"115+0666";"U33";1958;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"UNIQUE";2806944;"116+0175";"U33";1958;100;"6";962;"O";"Ciel ouvert";"2270";2016
229000;"V2";2806961;"114+0820";"U33";1999;130;"7AV";980;"O";"Ciel ouvert";"2270";2016
229000;"V2";2806963;"112+0860";"U33";1999;130;"7AV";980;"O";"Ciel ouvert";"2270";2016
229000;"V2";2806964;"112+0859";"U33";1999;130;"7AV";980;"O";"Ciel ouvert";"2270";2016
229000;"V2";2806965;"112+0774";"U33";1999;130;"7AV";980;"O";"Ciel ouvert";"2270";2016
229000;"V2";2806967;"111+0798";"U33";1999;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2806970;"111+0100";"U33";1999;130;"7AV";1087;"O";"Ciel ouvert";"2270";2016
229000;"V2";2806971;"111+0090";"U33";1999;130;"7AV";1087;"O";"Ciel ouvert";"2270";2016
229000;"V2";2806972;"111+0089";"U33";1999;130;"7AV";1087;"O";"Ciel ouvert";"2270";2016
229000;"V2";2806973;"111+0088";"U33";1999;130;"7AV";1087;"O";"Ciel ouvert";"2270";2016
229000;"V2";2806974;"111+0051";"U33";1999;130;"7AV";1087;"O";"Ciel ouvert";"2270";2016
229000;"V2";2806975;"110+0998";"U33";1999;130;"7AV";1087;"O";"Ciel ouvert";"2270";2016
229000;"V2";2806976;"110+0845";"U33";1999;130;"7AV";909;"O";"Ciel ouvert";"2270";2016
